timestamp,queue_length,tier
1731874533.545,2,server
1731874534.545,2,server
1731874535.545,2,server
1731874536.545,1,server
1731874537.545,0,server
1731874538.545,2,server
1731874539.545,2,server
1731874540.545,2,server
1731874541.545,1,server
1731874542.545,0,server
1731874543.545,0,server
1731874544.545,1,server
1731874545.545,2,server
1731874546.545,1,server
1731874547.545,1,server
1731874548.545,0,server
1731874549.545,1,server
1731874550.545,0,server
1731874551.545,1,server
1731874552.545,1,server
1731874553.545,1,server
1731874554.545,1,server
1731874555.545,1,server
1731874556.545,0,server
1731874557.545,2,server
1731874558.545,2,server
1731874559.545,2,server
1731874560.545,1,server
1731874561.545,0,server
1731874562.545,0,server
1731874563.545,2,server
1731874564.545,0,server
1731874565.545,1,server
1731874566.545,1,server
1731874567.545,1,server
1731874568.545,2,server
1731874569.545,0,server
1731874570.545,1,server
1731874571.545,1,server
1731874572.545,2,server
1731874573.545,1,server
1731874574.545,2,server
1731874575.545,0,server
1731874576.545,1,server
1731874577.545,0,server
1731874578.545,0,server
1731874579.545,0,server
1731874580.545,2,server
1731874581.545,0,server
1731874582.545,1,server
1731874583.545,2,server
1731874584.545,1,server
1731874585.545,2,server
1731874586.545,1,server
1731874587.545,1,server
1731874588.545,1,server
1731874589.545,2,server
1731874590.545,1,server
1731874591.545,0,server
1731874592.545,1,server
1731874593.545,12,server
1731874594.545,6,server
1731874595.545,6,server
1731874596.545,9,server
1731874597.545,10,server
1731874598.545,6,server
1731874599.545,9,server
1731874600.545,12,server
1731874601.545,14,server
1731874602.545,14,server
1731874603.545,10,server
1731874604.545,12,server
1731874605.545,7,server
1731874606.545,14,server
1731874607.545,11,server
1731874608.545,5,server
1731874609.545,10,server
1731874610.545,7,server
1731874611.545,5,server
1731874612.545,10,server
1731874613.545,14,server
1731874614.545,7,server
1731874615.545,5,server
1731874616.545,8,server
1731874617.545,6,server
1731874618.545,13,server
1731874619.545,11,server
1731874620.545,10,server
1731874621.545,8,server
1731874622.545,10,server
1731874623.545,8,server
1731874624.545,1,server
1731874625.545,0,server
1731874626.545,2,server
1731874627.545,2,server
1731874628.545,0,server
1731874629.545,2,server
1731874630.545,2,server
1731874631.545,2,server
1731874632.545,2,server
1731874633.545,2,server
1731874634.545,2,server
1731874635.545,0,server
1731874636.545,2,server
1731874637.545,2,server
1731874638.545,2,server
1731874639.545,1,server
1731874640.545,0,server
1731874641.545,0,server
1731874642.545,0,server
1731874643.545,0,server
1731874644.545,0,server
1731874645.545,1,server
1731874646.545,2,server
1731874647.545,1,server
1731874648.545,2,server
1731874649.545,2,server
1731874650.545,1,server
1731874651.545,1,server
1731874652.545,0,server
1731874653.545,1,server
1731874654.545,2,server
1731874655.545,1,server
1731874656.545,0,server
1731874657.545,1,server
1731874658.545,2,server
1731874659.545,0,server
1731874660.545,1,server
1731874661.545,1,server
1731874662.545,0,server
1731874663.545,2,server
1731874664.545,1,server
1731874665.545,2,server
1731874666.545,0,server
1731874667.545,1,server
1731874668.545,2,server
1731874669.545,2,server
1731874670.545,0,server
1731874671.545,2,server
1731874672.545,2,server
1731874673.545,1,server
1731874674.545,0,server
1731874675.545,1,server
1731874676.545,0,server
1731874677.545,1,server
1731874678.545,1,server
1731874679.545,0,server
1731874680.545,0,server
1731874681.545,1,server
1731874682.545,1,server
1731874683.545,0,server
1731874684.545,1,server
1731874685.545,2,server
1731874686.545,1,server
1731874687.545,0,server
1731874688.545,0,server
1731874689.545,1,server
1731874690.545,2,server
1731874691.545,2,server
1731874692.545,0,server
1731874693.545,2,server
1731874694.545,0,server
1731874695.545,2,server
1731874696.545,2,server
1731874697.545,1,server
1731874698.545,0,server
1731874699.545,2,server
1731874700.545,1,server
1731874701.545,2,server
1731874702.545,0,server
1731874703.545,0,server
