timestamp,response_time,defense_type,period,effectiveness,description
0.0,38.16461747832569,baseline,normal,0.0,No defense mechanisms
0.06,47.13859839112919,baseline,normal,0.0,No defense mechanisms
0.12,52.430786188201935,baseline,normal,0.0,No defense mechanisms
0.18,48.654670394070756,baseline,normal,0.0,No defense mechanisms
0.24,65.74680886893671,baseline,normal,0.0,No defense mechanisms
0.3,34.88922541147108,baseline,normal,0.0,No defense mechanisms
0.36,51.035196916285685,baseline,normal,0.0,No defense mechanisms
0.42,51.39434421686963,baseline,normal,0.0,No defense mechanisms
0.48,52.429109624422836,baseline,normal,0.0,No defense mechanisms
0.54,57.68065931586162,baseline,normal,0.0,No defense mechanisms
0.6,52.45166454777986,baseline,normal,0.0,No defense mechanisms
0.6599999999999999,53.58039211189732,baseline,normal,0.0,No defense mechanisms
0.72,41.48719352226531,baseline,normal,0.0,No defense mechanisms
0.78,68.43509118532852,baseline,normal,0.0,No defense mechanisms
0.84,51.98979775628766,baseline,normal,0.0,No defense mechanisms
0.8999999999999999,50.30137236555956,baseline,normal,0.0,No defense mechanisms
0.96,53.214429467852945,baseline,normal,0.0,No defense mechanisms
1.02,60.950967314809425,baseline,normal,0.0,No defense mechanisms
1.08,60.4268901604258,baseline,normal,0.0,No defense mechanisms
1.14,42.84497400005048,baseline,normal,0.0,No defense mechanisms
1.2,50.85473887322937,baseline,normal,0.0,No defense mechanisms
1.26,52.989349713016026,baseline,normal,0.0,No defense mechanisms
1.3199999999999998,68.81453052746323,baseline,normal,0.0,No defense mechanisms
1.38,54.64360210380288,baseline,normal,0.0,No defense mechanisms
1.44,56.498146086060075,baseline,normal,0.0,No defense mechanisms
1.5,33.44331557894938,baseline,normal,0.0,No defense mechanisms
1.56,53.80846334470867,baseline,normal,0.0,No defense mechanisms
1.6199999999999999,63.59980818086129,baseline,normal,0.0,No defense mechanisms
1.68,73.21974547737398,baseline,normal,0.0,No defense mechanisms
1.74,51.16534547454143,baseline,normal,0.0,No defense mechanisms
1.7999999999999998,45.63109903536829,baseline,normal,0.0,No defense mechanisms
1.8599999999999999,37.71297825142584,baseline,normal,0.0,No defense mechanisms
1.92,47.85190822602038,baseline,normal,0.0,No defense mechanisms
1.98,46.000753490521795,baseline,normal,0.0,No defense mechanisms
2.04,41.4551761275791,baseline,normal,0.0,No defense mechanisms
2.1,44.56235002631151,baseline,normal,0.0,No defense mechanisms
2.16,39.00908820789614,baseline,normal,0.0,No defense mechanisms
2.2199999999999998,47.25476815398949,baseline,normal,0.0,No defense mechanisms
2.28,55.412709435852776,baseline,normal,0.0,No defense mechanisms
2.34,22.955550017813515,baseline,normal,0.0,No defense mechanisms
2.4,47.10274940009432,baseline,normal,0.0,No defense mechanisms
2.46,46.843593179766316,baseline,normal,0.0,No defense mechanisms
2.52,52.66509174675455,baseline,normal,0.0,No defense mechanisms
2.58,50.1250168594524,baseline,normal,0.0,No defense mechanisms
2.6399999999999997,60.244969788510915,baseline,normal,0.0,No defense mechanisms
2.6999999999999997,63.28308744328915,baseline,normal,0.0,No defense mechanisms
2.76,51.42659712753115,baseline,normal,0.0,No defense mechanisms
2.82,42.361233627483166,baseline,normal,0.0,No defense mechanisms
2.88,55.462658179005835,baseline,normal,0.0,No defense mechanisms
2.94,43.694475996688254,baseline,normal,0.0,No defense mechanisms
3.0,40.43176453626256,baseline,normal,0.0,No defense mechanisms
3.06,44.607488429297184,baseline,normal,0.0,No defense mechanisms
3.12,45.37520826876044,baseline,normal,0.0,No defense mechanisms
3.1799999999999997,56.01200523309883,baseline,normal,0.0,No defense mechanisms
3.2399999999999998,28.46389235785805,baseline,normal,0.0,No defense mechanisms
3.3,49.48987270949142,baseline,normal,0.0,No defense mechanisms
3.36,66.15330800846019,baseline,normal,0.0,No defense mechanisms
3.42,52.77738085493539,baseline,normal,0.0,No defense mechanisms
3.48,52.50323344489478,baseline,normal,0.0,No defense mechanisms
3.54,48.909375439800854,baseline,normal,0.0,No defense mechanisms
3.5999999999999996,44.03576961438177,baseline,normal,0.0,No defense mechanisms
3.6599999999999997,40.25509943627081,baseline,normal,0.0,No defense mechanisms
3.7199999999999998,37.357445362837325,baseline,normal,0.0,No defense mechanisms
3.78,46.041460907275905,baseline,normal,0.0,No defense mechanisms
3.84,52.651552900445566,baseline,normal,0.0,No defense mechanisms
3.9,49.78243002650352,baseline,normal,0.0,No defense mechanisms
3.96,44.628290181406854,baseline,normal,0.0,No defense mechanisms
4.02,44.91625647413887,baseline,normal,0.0,No defense mechanisms
4.08,59.52856906668855,baseline,normal,0.0,No defense mechanisms
4.14,44.529888962851025,baseline,normal,0.0,No defense mechanisms
4.2,47.58724462797795,baseline,normal,0.0,No defense mechanisms
4.26,41.02373857927562,baseline,normal,0.0,No defense mechanisms
4.32,50.87970601970067,baseline,normal,0.0,No defense mechanisms
4.38,37.43293495547728,baseline,normal,0.0,No defense mechanisms
4.4399999999999995,49.25928625700901,baseline,normal,0.0,No defense mechanisms
4.5,45.13282437228569,baseline,normal,0.0,No defense mechanisms
4.56,56.077073770957135,baseline,normal,0.0,No defense mechanisms
4.62,62.47184306997971,baseline,normal,0.0,No defense mechanisms
4.68,41.14173642152101,baseline,normal,0.0,No defense mechanisms
4.74,47.54410937177818,baseline,normal,0.0,No defense mechanisms
4.8,49.05364064541131,baseline,normal,0.0,No defense mechanisms
4.859999999999999,39.305740829729295,baseline,normal,0.0,No defense mechanisms
4.92,52.268059577800756,baseline,normal,0.0,No defense mechanisms
4.9799999999999995,61.094556928227725,baseline,normal,0.0,No defense mechanisms
5.04,46.98780436995783,baseline,normal,0.0,No defense mechanisms
5.1,21.140923813369525,baseline,normal,0.0,No defense mechanisms
5.16,30.117207038575852,baseline,normal,0.0,No defense mechanisms
5.22,60.95092145218374,baseline,normal,0.0,No defense mechanisms
5.279999999999999,59.07763642001669,baseline,normal,0.0,No defense mechanisms
5.34,42.12372374680688,baseline,normal,0.0,No defense mechanisms
5.3999999999999995,42.93435498756053,baseline,normal,0.0,No defense mechanisms
5.46,59.830575543344615,baseline,normal,0.0,No defense mechanisms
5.52,77.53140524945664,baseline,normal,0.0,No defense mechanisms
5.58,57.379425026765254,baseline,normal,0.0,No defense mechanisms
5.64,37.28161155194141,baseline,normal,0.0,No defense mechanisms
5.7,57.72356083504225,baseline,normal,0.0,No defense mechanisms
5.76,45.23654978665357,baseline,normal,0.0,No defense mechanisms
5.819999999999999,39.96628313730728,baseline,normal,0.0,No defense mechanisms
5.88,76.10758569519719,baseline,normal,0.0,No defense mechanisms
5.9399999999999995,54.992060801100244,baseline,normal,0.0,No defense mechanisms
6.0,52.68944471539416,baseline,normal,0.0,No defense mechanisms
6.06,50.42203711290375,baseline,normal,0.0,No defense mechanisms
6.12,44.96864646450459,baseline,normal,0.0,No defense mechanisms
6.18,44.75819414374416,baseline,normal,0.0,No defense mechanisms
6.24,48.368991984658216,baseline,normal,0.0,No defense mechanisms
6.3,69.54863856102381,baseline,normal,0.0,No defense mechanisms
6.359999999999999,37.33306607622084,baseline,normal,0.0,No defense mechanisms
6.42,56.64164112523616,baseline,normal,0.0,No defense mechanisms
6.4799999999999995,50.831604205194026,baseline,normal,0.0,No defense mechanisms
6.54,34.313891076433706,baseline,normal,0.0,No defense mechanisms
6.6,73.89148890722205,baseline,normal,0.0,No defense mechanisms
6.66,50.679010031564935,baseline,normal,0.0,No defense mechanisms
6.72,45.78586325646887,baseline,normal,0.0,No defense mechanisms
6.779999999999999,58.26795833426493,baseline,normal,0.0,No defense mechanisms
6.84,58.99334237981449,baseline,normal,0.0,No defense mechanisms
6.8999999999999995,54.1589830710709,baseline,normal,0.0,No defense mechanisms
6.96,49.564107156081,baseline,normal,0.0,No defense mechanisms
7.02,56.07527057625025,baseline,normal,0.0,No defense mechanisms
7.08,49.488420911908335,baseline,normal,0.0,No defense mechanisms
7.14,65.81682144344693,baseline,normal,0.0,No defense mechanisms
7.199999999999999,62.69346171355434,baseline,normal,0.0,No defense mechanisms
7.26,57.02839015290186,baseline,normal,0.0,No defense mechanisms
7.319999999999999,69.40626737957302,baseline,normal,0.0,No defense mechanisms
